# id	file_path	transparent_color_r	g	b
[TEXTURES]
30	Resources\map\map2\tileset.png	255	255	255
10	textures\simon.png	116	116	116
20	textures\ItemsObjects.png	116	116	116
21	textures\Enemies.png	116	116	116
22	textures\Enemies2.png	116	116	116

#Map
[MAP]
30	Resources\map\map2\tileset.txt

# id	left	top	right	bottom	texture_id
[SPRITES]
#Idle 					
20001	803	22	819	52	10
#Walk					
20002	831	22	847	52	10
20003	848	21	860	52	10
20004	865	22	880	52	10
#Jump					
20005	886	22	902	45	10
#Ascend					
20006	956	22	971	53	10
20007	973	21	985	52	10
#Descend					
20008	1013	22	1029	53	10
20009	1030	21	1042	52	10
#Hurt					
20010	1077	24	1093	53	10
#Death					
20011	1110	24	1126	45	10
20012	1127	22	1159	37	10
#Intro					
20013	1164	21	1180	53	10
#Colors					
20014	1208	22	1224	52	10
20015	1225	22	1241	52	10
20016	1242	22	1258	52	10
20017	1259	22	1275	52	10
20018	1276	22	1292	52	10
#Idle					
20019	785	22	801	52	10
#Walk					
20020	757	22	773	52	10
20021	744	21	756	52	10
20022	724	22	739	52	10
#Jump					
20023	702	22	718	45	10
#Ascend					
20024	633	22	648	53	10
20025	619	21	631	52	10
#Descend					
20026	575	22	591	53	10
20027	562	21	574	52	10
#Hurt					
20028	511	24	527	53	10
#Death					
20029	478	24	494	45	10
20030	445	22	477	37	10
#Intro					
20031	1164	21	1176	53	10
#Colors					
20032	380	22	396	52	10
20033	363	22	379	52	10
20034	346	22	362	52	10
20035	329	22	345	52	10
20036	312	22	328	52	10

#torch
10001	175	1	191	33	20
10002	192	1	208	33	20

#heart							
10003	27	1	43	17	20	16	16
#whip							
10004	1	1	17	17	20	16	16
#dagger							
10005	1	18	17	34	20	16	16
#moneybag							
10006	44	1	60	17	20	16	16



#standing
20040	803	79	827	109	10
20041	828	79	844	109	10
20042	847	80	869	109	10
20043	872	80	894	109	10
20044	897	80	919	109	10
20045	922	80	944	109	10
#ducking  left					
20046	949	79	973	102	10
20047	974	79	990	102	10
20048	993	80	1015	102	10
20049	1018	80	1040	102	10
